"","country","countryCode","region","year","count","population","share","lifeExpectency","undernourishment","unemployment","gdpPerCapita","politicalStability","ruleOfLaw","tertiaryEducation"
"488","France","250","Europe",2020,2560000,67601110,3.8,82.2,2.5,NA,39169.9,56.1,1.3,68.9
"489","French Guiana","254","Latin America/Caribbean",2000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"490","French Guiana","254","Latin America/Caribbean",2005,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA
"491","French Guiana","254","Latin America/Caribbean",2010,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA
"492","French Guiana","254","Latin America/Caribbean",2015,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA
"493","French Guiana","254","Latin America/Caribbean",2020,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA
"494","French Polynesia","258","Asia/Pacific",1990,NA,203776,NA,73.9,NA,NA,16293.2,NA,NA,NA
"495","French Polynesia","258","Asia/Pacific",1995,NA,222118,NA,76.2,NA,11.9,18850.3,NA,NA,NA
"496","French Polynesia","258","Asia/Pacific",2000,NA,240337,NA,79,NA,11.6,14978.3,NA,NA,NA
"497","French Polynesia","258","Asia/Pacific",2005,NA,259507,NA,80,3.9,12.4,21984.2,NA,NA,NA
"498","French Polynesia","258","Asia/Pacific",2010,NA,270580,NA,81.1,4.5,14.3,22494.8,NA,NA,NA
"499","French Polynesia","258","Asia/Pacific",2015,NA,277866,NA,82.3,5.7,13.7,19167,NA,NA,NA
"500","French Polynesia","258","Asia/Pacific",2020,NA,279209,NA,82.5,5.2,NA,20746.3,NA,NA,NA
"501","Gabon","266","Sub-Saharan Africa",1990,20000,983734,2,60.7,NA,NA,6050.7,NA,NA,5.1
"502","Gabon","266","Sub-Saharan Africa",1995,20000,1123213,1.8,61.3,NA,17.7,4414.9,NA,NA,NA
"503","Gabon","266","Sub-Saharan Africa",2000,20000,1275572,1.6,61.8,NA,17.4,3982.9,70.4,-0.2,NA
"504","Gabon","266","Sub-Saharan Africa",2005,40000,1463495,2.7,63,14.6,16.9,6547.9,55.8,-0.4,NA
"505","Gabon","266","Sub-Saharan Africa",2010,40000,1719879,2.3,64.7,14.1,20.4,8356.7,54.5,-0.5,NA
"506","Gabon","266","Sub-Saharan Africa",2015,50000,2040989,2.5,66.3,14.1,20.3,7047.1,47.1,-0.6,NA
"507","Gabon","266","Sub-Saharan Africa",2020,60000,2322539,2.6,67.1,19.7,NA,6605.8,45.8,-0.7,NA
"508","Gambia","270","Sub-Saharan Africa",1990,40000,1054696,3.8,51.3,NA,NA,300.6,NA,NA,NA
"509","Gambia","270","Sub-Saharan Africa",1995,40000,1264313,3.2,54.3,NA,9.4,621.7,NA,NA,1.4
"510","Gambia","270","Sub-Saharan Africa",2000,50000,1455084,3.4,56.9,NA,9.4,538.1,69.3,-0.1,NA
"511","Gambia","270","Sub-Saharan Africa",2005,60000,1667037,3.6,59.1,17.6,9.3,616.5,53.9,-0.5,NA
"512","Gambia","270","Sub-Saharan Africa",2010,80000,1926630,4.2,61.2,8.9,9.4,801,48.8,-0.6,1.9
"513","Gambia","270","Sub-Saharan Africa",2015,1e+05,2224529,4.5,63,11.9,9.3,619.5,47.6,-0.7,NA
"514","Gambia","270","Sub-Saharan Africa",2020,150000,2515733,6,64.4,17.1,NA,720.3,55.2,-0.4,NA
"515","Georgia","268","Europe",1990,930000,4802000,19.4,68.7,NA,NA,1611,NA,NA,NA
"516","Georgia","268","Europe",1995,960000,4657722,20.6,69.4,NA,7.6,578.3,NA,NA,45.9
"517","Georgia","268","Europe",2000,980000,4077131,24,70.1,NA,10.8,749.9,20.6,-0.9,42.5
"518","Georgia","268","Europe",2005,9e+05,3902469,23.1,70.7,4,13.8,1642.8,25.2,-0.7,51.8
"519","Georgia","268","Europe",2010,830000,3786695,21.9,71.7,6.8,20.2,3281.7,24.2,-0.2,31.6
"520","Georgia","268","Europe",2015,860000,3725276,23.1,73.2,6.6,16.5,4086.6,29.5,0.2,51.2
"521","Georgia","268","Europe",2020,890000,3722716,23.9,73.5,5.2,NA,4300.9,32.5,0.2,71.3
"522","Germany","276","Europe",1990,3130000,79433029,3.9,75.1,NA,NA,22385.7,NA,NA,NA
"523","Germany","276","Europe",1995,3190000,81678051,3.9,76.4,NA,8.2,31747.2,NA,NA,46.4
"524","Germany","276","Europe",2000,3350000,82211508,4.1,77.9,NA,7.9,23925.9,95.2,1.6,NA
"525","Germany","276","Europe",2005,3560000,82469422,4.3,78.9,2.5,11.2,35084.4,75.7,1.7,NA
"526","Germany","276","Europe",2010,3810000,81776930,4.7,80,2.5,7,42409.9,73.5,1.6,NA
"527","Germany","276","Europe",2015,3730000,81686611,4.6,80.6,2.5,4.6,41911,68.1,1.8,68.2
"528","Germany","276","Europe",2020,3970000,83160871,4.8,81,2.5,NA,47379.8,67.9,1.5,72.4
"529","Ghana","288","Sub-Saharan Africa",1990,420000,15394648,2.7,55.4,NA,NA,382.5,NA,NA,NA
"530","Ghana","288","Sub-Saharan Africa",1995,460000,17399017,2.6,56.7,NA,6.4,371.5,NA,NA,NA
"531","Ghana","288","Sub-Saharan Africa",2000,520000,19637087,2.6,58.1,NA,10.4,253.7,33.3,0.1,NA
"532","Ghana","288","Sub-Saharan Africa",2005,710000,22449438,3.2,59.6,11.1,5.5,478.6,51.9,-0.1,5.1
"533","Ghana","288","Sub-Saharan Africa",2010,8e+05,25474995,3.1,61.3,7,5.3,1263.9,46.9,0,NA
"534","Ghana","288","Sub-Saharan Africa",2015,950000,28696068,3.3,63.2,9.7,6.8,1721.7,44.3,0.1,15.7
"535","Ghana","288","Sub-Saharan Africa",2020,1070000,31887809,3.4,64.3,6,NA,2196.5,52.8,-0.1,18.6
"536","Gibraltar","292","Europe",1990,10000,27200,36.8,76.8,NA,NA,NA,NA,NA,NA
"537","Gibraltar","292","Europe",1995,10000,27377,36.5,78.3,NA,NA,NA,NA,NA,NA
"538","Gibraltar","292","Europe",2000,NA,27709,NA,80.1,NA,NA,NA,NA,NA,NA
"539","Gibraltar","292","Europe",2005,NA,29163,NA,81,NA,NA,NA,NA,NA,NA
"540","Gibraltar","292","Europe",2010,10000,31248,32,82.1,NA,NA,NA,NA,NA,NA
"541","Gibraltar","292","Europe",2015,10000,33193,30.1,82.7,NA,NA,NA,NA,NA,NA
"542","Gibraltar","292","Europe",2020,10000,36173,27.6,83.1,NA,NA,NA,NA,NA,NA
"543","Greece","300","Europe",1990,1080000,10196792,10.6,76.9,NA,NA,9466.7,NA,NA,24.5
"544","Greece","300","Europe",1995,1040000,10562153,9.8,77.6,NA,9.1,12779.1,NA,NA,37.3
"545","Greece","300","Europe",2000,1010000,10805808,9.3,77.9,NA,11.2,11638.2,75.1,0.9,52.7
"546","Greece","300","Europe",2005,9e+05,10987314,8.2,79.2,2.5,10,22054.1,63.6,0.8,90.3
"547","Greece","300","Europe",2010,810000,11121341,7.3,80.4,2.5,12.7,26653,40.8,0.6,101.7
"548","Greece","300","Europe",2015,850000,10820883,7.9,81,2.5,24.9,17980.7,38.1,0.3,NA
"549","Greece","300","Europe",2020,1120000,10698599,10.5,81.3,2.5,NA,17886.7,51.4,0.3,143.7
"550","Greenland","304","North America",1990,NA,55600,NA,65.1,NA,NA,18326.9,NA,NA,NA
